Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDZ02,OUT035,1543.0541
FDL46,OUT045,1888.2489
FDS60,OUT027,4723.274
NCO06,OUT017,700.8689
FDO16,OUT035,1369.4867
FDC60,OUT049,1370.7947
FDA48,OUT018,3292.2224
FDZ36,OUT027,4970.6646
FDK27,OUT045,1988.1543
FDW23,OUT018,590.66345
FDM14,OUT018,1478.0403
FDM14,OUT013,1634.8701
FDW60,OUT018,2603.0227
FDE21,OUT013,1860.6627
NCM42,OUT035,1667.1196
FDY59,OUT010,298.66412
DRI49,OUT049,1312.5848
FDT28,OUT019,380.03384
FDQ22,OUT018,548.9208
FDR60,OUT049,1238.8467
FDC50,OUT019,312.14117
FDV24,OUT013,2426.5056
DRF48,OUT010,572.15857
FDQ47,OUT046,677.85034
DRN36,OUT049,1539.7234
NCY06,OUT035,2079.4937
FDE52,OUT035,1405.2356
NCB54,OUT045,2063.398
NCF31,OUT035,2477.6423
FDJ08,OUT027,5108.9023
NCC07,OUT017,1646.5841
NCD19,OUT027,1445.846
FDL46,OUT049,1901.0138
FDM20,OUT045,3868.0842
NCI06,OUT010,496.62625
DRM11,OUT035,4116.1997
NCH07,OUT018,2367.4922
FDS23,OUT013,2075.5852
FDO49,OUT018,676.4925
FDS35,OUT049,1073.0468
DRK39,OUT045,1358.0298
DRI39,OUT049,922.33594
FDV04,OUT017,2588.6196
NCN14,OUT035,3142.925
FDH08,OUT013,3852.9663
FDS20,OUT046,3118.4475
FDV40,OUT049,1158.5757
FDZ48,OUT010,377.03976
FDS24,OUT027,2390.5315
FDK44,OUT049,2869.1553
FDS48,OUT045,2454.0918
FDK26,OUT010,572.15857
FDD23,OUT045,3118.4475
NCH54,OUT017,2616.2422
NCP14,OUT010,362.08334
FDM60,OUT010,104.622
FDV24,OUT017,2445.6746
FDH08,OUT018,3407.3684
FDS12,OUT027,3253.351
FDR39,OUT027,4754.375
FDP12,OUT027,1058.2736
DRF60,OUT027,5999.5674
FDC09,OUT035,1667.1196
FDF50,OUT018,2895.845
FDG28,OUT035,3912.5857
NCE19,OUT017,918.12085
NCM53,OUT010,375.1379
NCN18,OUT049,1784.4211
FDF32,OUT035,3162.949
FDF11,OUT013,3900.4849
DRI59,OUT049,3712.612
NCG54,OUT035,2735.866
FDM44,OUT046,1651.024
FDT57,OUT018,3454.887
FDV24,OUT046,2454.0918
FDI50,OUT019,626.80536
FDS09,OUT035,806.5055
NCC31,OUT027,3778.9343
FDQ07,OUT019,580.4703
FDC22,OUT017,3140.407
FDZ56,OUT046,2712.3154
FDZ40,OUT019,159.9469
FDS46,OUT027,2964.1086
DRD24,OUT045,2103.1714
FDV45,OUT017,3140.407
FDL26,OUT045,2454.0918
FDA56,OUT018,1783.9502
FDN27,OUT046,1771.9894
FDM20,OUT049,3891.3342
FDO16,OUT017,1344.5684
FDL03,OUT035,3142.925
FDE58,OUT046,1888.2489
FDI02,OUT027,2964.1086
NCC55,OUT019,82.283104
FDR03,OUT018,3027.871
FDB14,OUT017,1486.7025
FDR45,OUT013,3885.4878
NCN07,OUT017,2094.7542
FDM51,OUT019,339.74448
FDT52,OUT027,5999.5674
FDL26,OUT046,2454.0918
NCZ42,OUT046,3813.238
DRI47,OUT019,380.03384
FDW40,OUT013,2116.0364
FDN34,OUT046,2712.3154
FDS01,OUT035,2920.1716
NCG55,OUT045,1888.2489
FDC11,OUT035,1369.4867
FDX35,OUT018,3399.4468
NCB06,OUT046,2597.0369
FDR09,OUT019,702.7291
FDC53,OUT017,1522.5186
FDY45,OUT013,4089.1016
FDA22,OUT010,422.89905
FDE02,OUT035,1543.0541
FDW21,OUT045,1651.024
FDV34,OUT046,1097.2777
FDS59,OUT049,1663.789
NCW17,OUT017,2047.5256
NCK54,OUT046,1888.2489
FDG17,OUT019,608.2149
FDG35,OUT017,2730.036
FDD08,OUT010,82.72687
NCO07,OUT017,3526.4797
FDJ10,OUT010,381.28638
FDW36,OUT017,1646.5841
FDW21,OUT010,362.08334
FDY19,OUT017,1872.3767
DRE03,OUT013,801.9701
NCC55,OUT049,690.61523
FDH52,OUT010,182.76993
FDO09,OUT017,3966.408
FDU43,OUT045,3828.9917
FDX09,OUT010,455.43542
FDH40,OUT019,277.40753
FDW58,OUT017,1530.3246
FDC47,OUT017,3816.684
NCR41,OUT035,1543.0541
DRG49,OUT035,3912.5857
FDC52,OUT027,3757.8406
FDY13,OUT046,1145.8108
FDY35,OUT013,711.0499
FDI35,OUT017,3140.407
NCU18,OUT049,2156.387
FDY33,OUT018,2367.4922
FDC15,OUT027,3997.0422
FDU01,OUT049,3022.2764
NCU42,OUT046,2712.3154
NCV29,OUT018,2603.0227
NCY30,OUT017,3132.2349
FDQ46,OUT049,1862.5887
FDG58,OUT027,3778.9343
FDK33,OUT017,3515.0977
NCD07,OUT045,1888.2489
NCX29,OUT027,3757.8406
NCT42,OUT013,2426.5056
DRN59,OUT035,806.5055
FDI44,OUT035,1311.2769
FDA45,OUT049,2744.935
FDP31,OUT045,944.0227
FDY01,OUT046,1888.2489
FDT09,OUT018,1831.8838
DRH03,OUT027,2533.6448
FDA36,OUT018,2797.1328
NCF31,OUT017,2445.6746
FDG14,OUT049,2466.8567
FDG28,OUT027,5999.5674
FDU14,OUT049,4083.566
FDY47,OUT019,318.21747
FDI56,OUT049,1401.9049
DRD01,OUT013,906.40674
FDM22,OUT046,909.57104
FDH33,OUT013,711.0499
DRZ24,OUT013,1860.6627
NCQ38,OUT046,1651.024
FDO16,OUT027,2213.5522
FDU07,OUT027,3757.8406
NCB07,OUT013,3073.0464
FDU48,OUT045,2103.1714
NCM43,OUT045,2624.6594
FDR31,OUT010,354.18475
DRK49,OUT018,552.8946
NCI30,OUT010,545.6617
DRD60,OUT017,2927.3281
NCG19,OUT046,3759.6433
FDH12,OUT035,1667.1196
FDM32,OUT035,1415.5801
FDM27,OUT035,2459.6846
NCU53,OUT027,3901.6729
NCQ18,OUT046,1595.2643
FDS10,OUT013,2826.4404
FDB33,OUT027,4024.7527
FDI12,OUT013,1332.8544
NCW42,OUT013,3654.6511
NCC06,OUT018,1801.6615
FDW02,OUT017,2047.5256
NCD43,OUT017,1646.5841
FDM57,OUT018,1219.1079
FDA58,OUT017,3843.2373
FDK56,OUT046,3118.4475
FDP52,OUT045,3752.7742
FDW20,OUT018,1667.6907
FDS52,OUT049,1663.789
NCT29,OUT018,1726.418
NCL54,OUT013,2823.9163
FDC05,OUT045,3118.4475
FDF34,OUT035,3081.2537
FDP03,OUT027,3060.7327
FDD32,OUT010,299.7464
FDZ10,OUT045,2063.398
FDZ40,OUT035,921.028
FDD51,OUT018,590.66345
NCY30,OUT019,464.56854
FDP58,OUT017,3508.8083
FDV49,OUT017,4117.287
FDY24,OUT019,151.8249
NCO55,OUT017,1646.5841
FDR13,OUT017,1872.3767
FDS51,OUT017,987.7171
FDP26,OUT045,1651.024
NCB54,OUT027,3248.8455
FDF32,OUT017,3140.407
FDN31,OUT018,2854.1023
DRM48,OUT017,704.8427
FDN20,OUT049,2697.3699
DRL01,OUT046,3752.7742
FDV56,OUT049,1663.789
DRH13,OUT027,2629.8525
FDA03,OUT017,2445.6746
FDF47,OUT027,5734.8687
FDX32,OUT046,2454.0918
FDX57,OUT049,1539.7234
NCA30,OUT045,3079.355
FDO49,OUT013,801.9701
FDL04,OUT019,339.74448
DRM48,OUT035,693.2811
FDR16,OUT013,3468.6885
NCC19,OUT018,2895.845
NCE42,OUT045,3657.8862
FDY24,OUT017,918.12085
FDH19,OUT049,2830.9597
FDJ46,OUT013,2823.9163
FDN45,OUT010,551.4935
FDY08,OUT035,2126.722
FDZ37,OUT035,1369.4867
NCT30,OUT045,795.0485
DRY23,OUT018,594.63727
NCZ30,OUT018,1783.9502
FDC44,OUT018,1720.3209
FDB45,OUT035,1550.8601
FDY04,OUT013,2597.0732
FDM27,OUT046,2597.0369
FDZ43,OUT017,3912.5857
FDT39,OUT019,380.03384
NCC06,OUT019,338.39792
FDL15,OUT027,3778.9343
FDL57,OUT017,4085.8777
FDU08,OUT046,1526.9585
FDK40,OUT017,4117.287
FDQ12,OUT010,654.4768
FDS48,OUT017,2445.6746
FDP09,OUT045,3435.9045
FDW21,OUT049,1539.7234
FDY25,OUT035,2938.0183
DRE13,OUT017,1344.5684
FDV43,OUT019,82.283104
FDD22,OUT045,1771.6562
FDM46,OUT019,281.5151
NCO30,OUT010,497.88812
FDM25,OUT046,2845.9053
NCN41,OUT049,2058.4514
FDU24,OUT045,1491.1425
FDZ50,OUT046,3118.4475
FDP45,OUT013,4058.7798
NCM54,OUT045,2063.398
FDW10,OUT019,308.39542
FDP20,OUT017,2047.5256
FDK32,OUT046,2454.0918
FDN52,OUT049,1370.7947
FDM58,OUT045,1771.6562
FDZ46,OUT027,2927.1907
NCA18,OUT018,1678.5786
FDD35,OUT046,2045.6865
NCK31,OUT035,806.5055
FDI40,OUT027,2629.8525
FDT50,OUT019,312.14117
NCT06,OUT046,2624.6594
FDT31,OUT035,3073.0815
FDT45,OUT049,885.1184
FDT13,OUT045,3118.4475
FDO50,OUT045,1389.14
NCU18,OUT010,381.28638
NCR54,OUT049,3141.6975
NCO18,OUT018,2603.0227
FDU09,OUT045,909.57104
FDT13,OUT018,2854.1023
FDE09,OUT046,1849.8239
NCK53,OUT019,339.74448
FDG45,OUT049,3498.247
DRH15,OUT035,715.1763
FDO21,OUT019,626.95636
FDD14,OUT027,5106.39
FDC09,OUT046,1651.024
FDH45,OUT027,1080.1688
FDV32,OUT046,1060.2819
FDG12,OUT035,1904.3445
FDS32,OUT013,2075.5852
NCL55,OUT018,3550.9028
DRE01,OUT035,3843.2373
DRE15,OUT049,1312.5848
NCL42,OUT045,3788.9639
FDP31,OUT013,940.8584
FDN33,OUT018,1367.5087
FDZ59,OUT046,2624.6594
FDE45,OUT010,468.88693
FDJ07,OUT013,1860.6627
FDQ45,OUT018,2797.1328
FDM33,OUT027,5518.968
FDO15,OUT010,259.06842
FDM46,OUT013,1474.9885
FDR03,OUT045,3405.1538
FDY49,OUT018,2434.8289
FDQ60,OUT045,1888.2489
FDW10,OUT049,2714.7004
FDO51,OUT049,712.5104
FDJ40,OUT018,1478.0403
FDS20,OUT018,2854.1023
FDU45,OUT013,1822.2377
FDV02,OUT035,2735.866
FDN09,OUT046,3868.0842
NCM55,OUT027,5108.9023
FDN23,OUT018,2182.8044
FDY31,OUT010,361.25226
FDW03,OUT010,362.08334
FDD14,OUT046,2963.0957
FDV23,OUT017,2047.5256
DRI03,OUT045,2845.9053
FDN13,OUT035,1611.3599
FDF45,OUT027,1678.3806
FDU46,OUT035,1369.4867
FDB57,OUT049,3663.0344
FDV12,OUT049,1608.0292
FDQ58,OUT013,2426.5056
NCA18,OUT017,1872.3767
FDH52,OUT049,991.9322
FDM24,OUT018,2224.547
NCP43,OUT027,4782.0854
NCO18,OUT019,440.11755
FDM32,OUT017,1384.7001
NCL07,OUT017,700.8689
FDK03,OUT013,3975.275
FDP59,OUT017,1530.3246
FDQ24,OUT049,4011.443
FDQ16,OUT018,1478.0403
FDU44,OUT013,2569.4507
FDH28,OUT010,75.65337
FDV28,OUT019,60.387985
FDM22,OUT045,872.3535
FDR56,OUT046,3118.4475
FDV39,OUT049,3071.854
FDU37,OUT019,272.20856
FDQ11,OUT010,833.5949
FDX02,OUT045,3689.362
NCS42,OUT018,1325.7664
FDY57,OUT027,2533.6448
FDB21,OUT049,3821.9858
FDE28,OUT017,3816.684
FDQ55,OUT017,1872.3767
FDA48,OUT049,3677.016
FDZ19,OUT045,2845.9053
NCC43,OUT045,3842.3691
NCV18,OUT046,1347.9233
NCA42,OUT018,2325.7495
FDY45,OUT046,4071.698
NCC30,OUT045,2887.522
FDM57,OUT013,1332.8544
FDL09,OUT010,407.4362
FDB09,OUT027,3216.7205
FDT44,OUT035,1904.3445
NCT06,OUT027,4058.414
FDX26,OUT049,3130.3154
FDK32,OUT013,2426.5056
DRA12,OUT046,2143.622
FDO46,OUT010,524.73285
FDE52,OUT013,1332.8544
NCH42,OUT045,3841.531
FDV08,OUT035,711.20245
FDB47,OUT018,3084.8403
FDC28,OUT010,377.03976
FDD22,OUT046,1888.2489
FDS07,OUT027,2964.1086
DRI13,OUT045,3474.997
FDG32,OUT018,3391.3657
FDU14,OUT017,4104.8174
FDD28,OUT019,167.96484
NCP41,OUT017,1646.5841
FDS08,OUT049,2869.1553
FDX47,OUT045,2597.0369
FDC53,OUT019,339.74448
FDQ19,OUT035,3927.5828
FDL14,OUT045,2454.0918
FDM33,OUT019,591.3602
FDA51,OUT045,1888.2489
FDZ27,OUT018,676.4925
FDT04,OUT046,699.7455
DRC13,OUT049,2058.4514
FDR16,OUT027,5272.335
FDQ03,OUT027,5999.5674
FDE38,OUT035,2735.866
DRH23,OUT027,1678.3806
FDT11,OUT019,574.1886
FDD09,OUT035,2938.0183
FDR40,OUT045,1347.9233
FDX07,OUT017,3132.2349
FDR07,OUT035,1426.7946
FDA51,OUT017,1872.3767
FDT59,OUT019,660.4452
FDF20,OUT017,3140.407
FDR13,OUT045,1888.2489
FDY26,OUT049,3448.6694
FDW04,OUT017,2094.7542
FDK52,OUT017,3828.196
FDN60,OUT049,2620.2869
FDM09,OUT019,440.11755
FDP46,OUT049,1370.7947
FDB50,OUT019,272.20856
NCQ29,OUT049,3865.6191
FDP16,OUT027,5960.475
FDX33,OUT018,2395.1147
FDP07,OUT010,497.88812
FDN22,OUT046,3881.7266
FDF39,OUT049,4064.6262
FDS21,OUT017,976.149
NCM42,OUT013,1634.8701
FDK50,OUT019,422.73602
DRF13,OUT027,3757.8406
FDH35,OUT018,2356.582
FDP60,OUT018,1429.8882
DRJ49,OUT027,3248.8455
NCT42,OUT019,380.03384
FDE38,OUT049,2735.5654
FDI04,OUT049,3141.6975
NCH54,OUT045,2597.0369
FDT56,OUT049,922.33594
DRD15,OUT018,3407.3684
FDV58,OUT013,2956.787
FDP21,OUT049,3141.6975
FDH05,OUT013,3783.618
FDR10,OUT027,4058.414
NCP06,OUT045,2337.8325
FDF33,OUT049,1663.789
DRK37,OUT013,3112.139
DRH49,OUT045,1358.0298
FDT58,OUT013,2690.3264
FDD41,OUT018,1519.7826
FDP40,OUT018,1561.986
FDM51,OUT027,2629.8525
FDO45,OUT010,299.7464
FDW33,OUT010,362.08334
FDY24,OUT045,909.57104
FDB10,OUT010,572.50635
FDM40,OUT035,2167.1726
NCI06,OUT017,2927.3281
FDW12,OUT019,331.8459
FDX48,OUT027,3778.9343
NCW05,OUT027,2629.8525
FDX27,OUT017,1406.259
DRM37,OUT045,3118.4475
FDA38,OUT045,3868.0842
FDR36,OUT046,699.7455
FDZ45,OUT046,3118.4475
FDG05,OUT017,2588.6196
FDK28,OUT013,4089.1016
FDV47,OUT045,1358.0298
FDN21,OUT045,2569.3264
FDP20,OUT027,3253.351
FDI35,OUT045,3118.4475
DRY23,OUT013,715.02374
FDA56,OUT017,2029.8143
FDB09,OUT013,2018.1003
NCO26,OUT027,2964.1086
FDQ49,OUT018,2272.4358
FDI52,OUT027,3216.7205
FDZ44,OUT027,2964.1086
FDZ09,OUT018,2395.1147
FDY03,OUT049,1880.0404
NCG42,OUT017,2094.7542
DRI13,OUT027,5518.968
FDQ32,OUT013,2035.8116
FDW16,OUT035,1405.2356
FDU27,OUT046,795.0485
FDR28,OUT010,445.0749
FDQ49,OUT010,379.94522
FDS37,OUT046,1888.2489
FDW26,OUT018,3292.2224
FDX12,OUT018,3443.0999
NCP06,OUT013,2310.2463
FDW45,OUT010,361.25226
NCN30,OUT049,1539.7234
FDN24,OUT049,885.1184
NCL41,OUT027,1058.2736
FDR02,OUT019,352.79904
FDD09,OUT010,496.62625
FDS33,OUT010,299.7464
FDU22,OUT045,1909.5132
FDI53,OUT013,2597.0732
DRH01,OUT049,2869.1553
FDX32,OUT013,2116.0364
NCP30,OUT018,548.9208
FDB60,OUT045,3118.4475
FDB14,OUT049,1503.9073
NCP02,OUT035,921.028
FDJ10,OUT017,2094.7542
FDG34,OUT046,1771.6562
NCB18,OUT017,1344.5684
FDM16,OUT049,1158.5757
FDW25,OUT018,1219.1079
FDB35,OUT010,288.31964
DRN11,OUT013,2116.0364
FDF41,OUT019,724.9116
FDH16,OUT045,1358.0298
NCQ50,OUT018,3088.0503
DRH23,OUT018,839.0274
DRJ37,OUT013,2426.5056
DRJ24,OUT027,5108.9023
FDY16,OUT035,3142.925
FDQ27,OUT045,1651.024
FDZ33,OUT045,2454.0918
FDF29,OUT045,2103.1714
FDA08,OUT049,2647.9094
FDG31,OUT046,1060.2819
FDE34,OUT019,526.7629
NCR30,OUT027,2016.8358
FDV33,OUT035,4085.8777
DRZ24,OUT018,1768.1603
NCL54,OUT035,2869.4558
FDR12,OUT049,2869.1553
NCC54,OUT046,3787.3538
DRN59,OUT013,801.9701
FDX50,OUT019,354.7009
FDV31,OUT027,4725.786
NCA29,OUT027,4611.5874
FDW60,OUT049,2869.1553
FDX08,OUT017,3140.407
DRD49,OUT013,3816.1394
FDD33,OUT046,3772.1826
FDW35,OUT013,711.0499
FDJ36,OUT017,1646.5841
FDV51,OUT035,2735.866
FDW36,OUT046,1651.024
FDH35,OUT046,2596.949
NCS30,OUT027,3146.8206
FDN49,OUT017,700.8689
FDL08,OUT018,3439.89
FDI09,OUT013,3660.7876
FDP19,OUT018,1896.223
FDU21,OUT010,82.72687
NCP41,OUT045,1651.024
FDY10,OUT013,1839.6893
FDP12,OUT018,527.02563
NCN26,OUT049,1901.0138
FDK44,OUT013,2823.9163
FDC28,OUT049,1663.789
FDJ41,OUT027,5985.378
NCT29,OUT035,2061.782
NCH42,OUT019,626.80536
FDU60,OUT018,2438.0388
FDS02,OUT045,3118.4475
FDC51,OUT046,2045.6865
FDU03,OUT013,3073.0464
FDX39,OUT045,3474.997
NCY05,OUT010,82.72687
NCL06,OUT027,5876.6064
FDD32,OUT035,1311.2769
NCN41,OUT045,2045.6865
NCX53,OUT049,2156.387
FDU57,OUT019,380.03384
FDQ23,OUT046,1651.024
FDQ52,OUT045,3951.1409
FDC14,OUT045,699.7455
FDY09,OUT035,2869.4558
FDQ28,OUT045,2498.4312
FDV25,OUT046,3689.362
FDJ07,OUT035,1904.3445
DRB25,OUT049,1663.789
FDK52,OUT019,551.10284
FDY52,OUT027,1755.6638
FDB28,OUT046,3118.4475
FDT36,OUT035,689.3073
FDV25,OUT017,3733.8635
NCN07,OUT027,3248.8455
FDC57,OUT017,3132.2349
FDQ03,OUT018,3390.2256
FDU23,OUT017,2709.4954
NCX41,OUT035,3511.3264
NCD06,OUT035,806.5055
FDW08,OUT045,1651.024
NCU29,OUT017,2445.6746
NCE06,OUT013,2569.4507
FDV52,OUT010,247.92183
FDB02,OUT017,2843.0852
NCR18,OUT045,699.7455
FDK16,OUT049,1539.7234
NCQ29,OUT010,620.8022
FDZ01,OUT019,339.74448
FDW27,OUT035,2620.5874
FDD17,OUT018,3439.89
FDW39,OUT013,2823.9163
DRH59,OUT045,1097.2777
FDS52,OUT013,1634.8701
FDU40,OUT027,5221.729
NCF54,OUT013,2796.2058
FDH46,OUT045,1651.024
NCP14,OUT049,1663.789
FDH50,OUT049,3141.6975
DRF15,OUT010,402.37277
FDV27,OUT027,2353.9512
NCJ06,OUT049,2000.9192
FDN02,OUT018,3084.8403
FDQ51,OUT049,807.8134
FDQ07,OUT017,3717.9517
FDS45,OUT049,1663.789
NCJ06,OUT045,2045.6865
FDD36,OUT035,1904.3445
FDY25,OUT045,3118.4475
FDU52,OUT046,2454.0918
DRK47,OUT017,3886.0325
NCL30,OUT017,2047.5256
FDN22,OUT035,3957.1484
NCF30,OUT027,3253.351
FDK03,OUT035,4002.3728
FDT45,OUT017,918.12085
NCC54,OUT027,5968.501
FDP08,OUT018,2899.055
FDU44,OUT046,2624.6594
DRG39,OUT035,830.24286
FDU32,OUT049,2058.4514
FDY27,OUT049,2910.772
NCP54,OUT013,2018.1003
NCZ41,OUT049,2076.1628
DRL49,OUT013,2148.457
FDI05,OUT018,1150.9135
FDY56,OUT045,3841.531
DRC13,OUT013,2018.1003
NCV29,OUT017,2927.3281
FDR24,OUT049,1285.3325
FDZ34,OUT018,2854.1023
FDP37,OUT035,2079.4937
FDX08,OUT027,4793.4673
FDS57,OUT045,2143.622
NCG18,OUT049,1663.789
FDK25,OUT018,2499.1687
FDH53,OUT049,1312.5848
DRI59,OUT018,3266.3916
FDA52,OUT046,2887.522
FDT20,OUT010,75.65337
FDE36,OUT019,422.73602
FDI24,OUT017,2843.0852
FDB28,OUT018,2895.845
FDV11,OUT017,2843.0852
FDP01,OUT046,2337.8325
FDD34,OUT027,4058.414
FDJ50,OUT027,1366.1783
FDZ44,OUT013,1860.6627
DRO59,OUT035,1157.2677
DRB48,OUT045,703.7193
FDR21,OUT018,2571.6287
NCE42,OUT010,534.6215
FDO23,OUT046,1491.1425
NCE30,OUT018,3126.583
FDQ22,OUT035,689.3073
FDY01,OUT045,1888.2489
FDS08,OUT017,2884.702
FDG28,OUT018,3399.862
FDQ51,OUT018,676.4925
FDB05,OUT017,4032.6946
FDO56,OUT049,1901.0138
FDE02,OUT018,1275.8507
FDN45,OUT017,3690.0955
FDS09,OUT013,801.9701
NCA54,OUT018,2641.0234
FDP09,OUT010,547.9297
FDC53,OUT045,1526.9585
NCM55,OUT017,3140.407
FDL09,OUT018,2502.3787
FDA11,OUT019,276.3252
FDA50,OUT045,1526.9585
FDC23,OUT017,2885.629
FDE22,OUT049,2620.2869
FDD23,OUT046,3118.4475
NCA29,OUT049,2869.1553
FDK38,OUT046,2454.0918
DRC13,OUT046,2045.6865
NCP43,OUT049,2899.39
FDX28,OUT049,1608.0292
FDF08,OUT049,1401.9049
FDZ33,OUT046,2454.0918
FDD10,OUT049,2861.1943
FDO58,OUT017,2619.4521
FDI50,OUT017,3886.0325
FDO58,OUT045,2638.8235
FDX08,OUT013,2899.06
NCK17,OUT010,104.622
FDF39,OUT035,4085.8777
FDU45,OUT010,325.75595
NCJ18,OUT018,1720.3209
DRC27,OUT019,532.4786
DRC25,OUT035,1369.4867
FDU59,OUT035,2620.5874
FDU28,OUT035,3142.925
NCP30,OUT046,699.7455
FDB39,OUT018,797.2847
FDE41,OUT013,1332.8544
DRH11,OUT010,190.30374
FDA58,OUT045,3798.7358
FDU50,OUT046,1888.2489
FDM34,OUT013,2075.5852
FDM44,OUT027,2629.8525
FDR39,OUT045,3079.355
FDM25,OUT045,2845.9053
FDQ49,OUT049,2511.196
DRH25,OUT018,707.68353
FDM09,OUT027,4611.5874
FDL44,OUT019,387.76724
NCR42,OUT018,527.02563
DRL59,OUT046,818.7859
FDX43,OUT013,2690.3264
DRK47,OUT010,551.4886
FDU48,OUT018,1831.8838
FDY12,OUT045,795.0485
NCN43,OUT018,1783.9502
NCM55,OUT018,2854.1023
FDQ21,OUT027,3253.3008
FDX13,OUT035,4116.1997
NCK30,OUT027,5876.6064
FDG20,OUT049,2869.1553
DRG27,OUT017,726.73785
FDY14,OUT018,3786.9841
FDP59,OUT035,1550.8601
FDU60,OUT017,2712.7053
NCC18,OUT019,455.5959
DRJ39,OUT017,3500.6362
FDS07,OUT049,1901.0138
FDM08,OUT027,5757.0654
FDP51,OUT045,1988.1543
FDU16,OUT035,1359.3802
FDH12,OUT013,1634.8701
DRE48,OUT010,524.73285
NCL42,OUT027,5960.475
FDR21,OUT045,2848.4294
NCW29,OUT035,2126.722
FDO11,OUT013,4058.7798
NCM31,OUT049,2156.387
FDV35,OUT019,380.03384
FDF58,OUT017,987.7171
NCE43,OUT049,2735.5654
FDA02,OUT035,2477.6423
DRL37,OUT010,108.5958
FDR24,OUT018,1223.7639
FDW59,OUT049,1370.7947
FDS22,OUT049,712.5104
FDW24,OUT017,813.6842
FDU24,OUT035,1543.0541
FDA21,OUT027,5108.9023
FDH58,OUT027,2964.1086
FDW36,OUT018,1478.0403
FDI45,OUT027,4611.5874
FDU01,OUT018,2800.3428
FDF35,OUT027,2629.8525
